,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_HWP,Alkaline_HWP,Neutral_HWP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_Onset
0,10.1016/j.jechem.2020.11.037,NaN,NaN,Journal of Energy Chemistry,13.599,2021-12-25,0,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.jechem.2020.11.037,NaN,NaN,NaN,Co,O,Ru,None,None,None,None,None,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.catcom.2012.09.016,Peoples R China,S China Univ Technol,CATALYSIS COMMUNICATIONS,3.51,2012-12-05,16,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.catcom.2012.09.016,NaN,NaN,NaN,None,None,None,None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.3866/PKU.WHXB19980415,Peoples R China,Tianjin Univ,ACTA PHYSICO-CHIMICA SINICA,6.253,1998-04-01,2,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.3866/PKU.WHXB19980415,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,10.1023/A:1019032623674,South Korea,Taejon Natl Univ Technol,CATALYSIS LETTERS,2.936,1999-01-01,11,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1023/A:1019032623674,NaN,NaN,NaN,C,Co,N,O,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/acsomega.8b01278,Spain,Univ Vigo,ACS OMEGA,4.132,2018-07-24,8,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1021/acsomega.8b01278,NaN,NaN,NaN,I,Mo,V,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.clay.2020.105921,Iran,Azarbaijan Shahid Madani Univ,APPLIED CLAY SCIENCE,5.907,2021-02-12,1,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.clay.2020.105921,NaN,NaN,NaN,C,Co,N,Ni,None,None,None,None,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,10.1016/j.ijhydene.2020.01.135,Peoples R China,Shanxi Normal Univ,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2020-04-21,7,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.ijhydene.2020.01.135,NaN,NaN,NaN,C,Co,Fe,N,None,None,None,None,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/acs.jpcb.7b05982,Peoples R China,Chinese Acad Sci,JOURNAL OF PHYSICAL CHEMISTRY B,3.466,2018-12-28,42,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1021/acs.jpcb.7b05982,NaN,NaN,NaN,Co,O,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/d2ta00127f,South Korea,Korea Adv Inst Sci & Technol KAIST,JOURNAL OF MATERIALS CHEMISTRY A,14.511,2022-03-15,1,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1039/d2ta00127f,NaN,NaN,NaN,C,Mn,Pt,None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jcis.2020.05.071,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.jcis.2020.05.071,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.apcatb.2021.120065,Peoples R China,Chinese Acad Sci,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,2021-06-27,34,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.apcatb.2021.120065,NaN,NaN,NaN,Co,Ni,O,None,None,None,None,None,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c9gc03630j,France,Univ Savoie Mt Blanc,GREEN CHEMISTRY,11.034,2020-05-14,10,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1039/c9gc03630j,NaN,NaN,NaN,Co,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,10.1016/j.jechem.2020.03.055,Australia,Monash Univ,JOURNAL OF ENERGY CHEMISTRY,13.599,2020-12-24,33,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.jechem.2020.03.055,NaN,NaN,NaN,Cl,Fe,O,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.renene.2009.08.017,Peoples R China,S China Univ Technol,RENEWABLE ENERGY,8.634,2010-03-01,85,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.renene.2009.08.017,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/d2nh00143h,Peoples R China,Chinese Acad Sci,NANOSCALE HORIZONS,11.684,2022-06-29,1,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1039/d2nh00143h,NaN,NaN,NaN,C,N,O,None,None,None,None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1016/j.jallcom.2022.163741,Peoples R China,Shandong Univ,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,2022-02-08,1,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.jallcom.2022.163741,NaN,NaN,NaN,B,Fe,Ni,None,None,None,None,None,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1063/1.5007430,Italy,Univ Calabria,JOURNAL OF APPLIED PHYSICS,2.877,2018-02-23,11,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1063/1.5007430,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1021/acs.jpcc.6b05692,Poland,Jagiellonian Univ,JOURNAL OF PHYSICAL CHEMISTRY C,4.177,2016-08-04,15,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1021/acs.jpcc.6b05692,NaN,NaN,NaN,B,Fe,N,O,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1038/s41467-017-02429-9,Sweden,KTH Royal Inst Technol,NATURE COMMUNICATIONS,17.694,2018-12-28,253,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1038/s41467-017-02429-9,NaN,NaN,NaN,Cu,Fe,Ni,O,None,None,None,None,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,10.1007/s10876-016-1132-6,Peoples R China,Longdong Univ,JOURNAL OF CLUSTER SCIENCE,3.447,2017-05-10,3,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1007/s10876-016-1132-6,NaN,NaN,NaN,N,P,S,None,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/S1872-2067(20)63706-8,Peoples R China,Hebei Univ Sci & Technol,CHINESE JOURNAL OF CATALYSIS,12.92,2021-05-11,10,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/S1872-2067(20)63706-8,NaN,NaN,NaN,Cd,Co,S,None,None,None,None,None,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
