,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_HWP,Alkaline_HWP,Neutral_HWP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_Onset
0,10.1039/c5ta00894h,WI 53211 USA,Univ Wisconsin,JOURNAL OF MATERIALS CHEMISTRY A,14.511,2015-01-01,78,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1039/c5ta00894h,NaN,NaN,NaN,Fe,N,Ni,None,None,None,None,None,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/d2ta02330j,Poland,Polish Acad Sci,JOURNAL OF MATERIALS CHEMISTRY A,14.511,2022-08-10,0,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1039/d2ta02330j,NaN,NaN,NaN,C,Ce,O,Ru,None,None,None,None,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c6ta02284g,Peoples R China,Tianjin Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,2016-08-03,62,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1039/c6ta02284g,NaN,NaN,NaN,Ni,None,None,None,None,None,None,None,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,10.1111/j.1751-1097.2011.01064.x,India,Tezpur Univ,PHOTOCHEMISTRY AND PHOTOBIOLOGY,3.521,2012-04-25,108,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1111/j.1751-1097.2011.01064.x,NaN,NaN,NaN,O,Ti,None,None,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,10.1016/j.diamond.2019.107459,Japan,Kyushu Univ,DIAMOND AND RELATED MATERIALS,3.806,2019-10-04,3,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.diamond.2019.107459,NaN,NaN,NaN,C,None,None,None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.nanoen.2020.104592,Peoples R China,Harbin Inst Technol,NANO ENERGY,19.069,2020-05-19,102,NaN,NaN,NaN,"Consequently, the developed catalyst presents a superior ORR activity with the half-wave potential of 0.87 V excellent durability with only a 7 mV loss of half-wave potential after 5000 cycles",No pH key word.10.1016/j.nanoen.2020.104592,NaN,NaN,NaN,C,Co,N,Zn,None,None,None,None,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1038/s41929-019-0237-3,Peoples R China,Beihang Univ,NATURE CATALYSIS,40.706,2019-03-22,598,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1038/s41929-019-0237-3,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1149/2.0961414jes,SC 29208 USA,Univ S Carolina,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,4.386,2015-01-07,15,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1149/2.0961414jes,NaN,NaN,NaN,C,Co,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,10.1021/acs.langmuir.7b01240,Peoples R China,Zhejiang Univ,LANGMUIR,4.331,2017-09-13,10,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1021/acs.langmuir.7b01240,NaN,NaN,NaN,Co,O,P,Ti,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.cej.2017.11.109,Peoples R China,North China Elect Power Univ,CHEMICAL ENGINEERING JOURNAL,16.744,2018-12-28,60,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.cej.2017.11.109,NaN,NaN,NaN,B,Cr,I,P,V,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.2174/1573413713666170126155504,India,CSIR,CURRENT NANOSCIENCE,1.513,2018-12-28,15,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.2174/1573413713666170126155504,NaN,NaN,NaN,Ir,Na,O,P,Ru,None,None,None,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,10.1016/j.jpowsour.2019.226823,South Korea,Incheon Natl Univ,JOURNAL OF POWER SOURCES,9.794,2019-09-12,9,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.jpowsour.2019.226823,NaN,NaN,NaN,C,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.ijhydene.2014.03.025,Mexico,Inst Politecn Nacl,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2014-11-19,13,NaN,NaN,NaN,NaN,Error in finding HWP keyword.10.1016/j.ijhydene.2014.03.025,NaN,NaN,NaN,Co,Ni,O,Pt,Zr,None,None,None,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
