,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_OER
0,10.1016/j.cej.2018.06.082,Taiwan,Natl Chung Hsing Univ,CHEMICAL ENGINEERING JOURNAL,16.744,2018-12-28,101,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.cej.2018.06.082,NaN,NaN,NaN,B,Co,Na,Ru,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c7ra04525e,India,Anna Univ,RSC ADVANCES,4.036,2017-08-08,11,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/c7ra04525e,NaN,NaN,NaN,C,O,None,None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1021/acsami.6b04718,Peoples R China,Wenzhou Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,2016-07-13,12,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1021/acsami.6b04718,NaN,NaN,NaN,C,None,None,None,None,None,None,None,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1016/j.ijhydene.2013.02.116,NY 10027 USA,Columbia Univ,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2013-05-10,77,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.ijhydene.2013.02.116,NaN,NaN,NaN,C,Mo,Pd,W,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1088/0004-637X/704/1/274,CO 80309 USA,Univ Colorado,ASTROPHYSICAL JOURNAL,5.521,2009-10-10,50,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1088/0004-637X/704/1/274,NaN,NaN,NaN,C,P,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jcat.2008.03.014,Greece,Inst Chem Engn & High Temp Chem Proc,JOURNAL OF CATALYSIS,8.047,2008-06-10,138,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.jcat.2008.03.014,NaN,NaN,NaN,Au,C,O,Sm,Zn,None,None,None,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c9cc09484a,Peoples R China,Zhejiang Univ Technol,CHEMICAL COMMUNICATIONS,6.065,2020-03-19,59,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/c9cc09484a,NaN,NaN,NaN,Ir,Ni,None,None,None,None,None,None,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jaap.2022.105538,Peoples R China,Nanchang Univ,JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS,6.437,2022-06-16,1,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.jaap.2022.105538,NaN,NaN,NaN,C,N,O,P,W,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,10.1016/j.apcatb.2020.119711,PA 15236 USA,Natl Energy Technol Lab,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,2021-03-21,12,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.apcatb.2020.119711,NaN,NaN,NaN,C,Mn,O,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,10.4103/0974-8520.127720,NaN,NaN,NaN,0.0,2014-04-24,18,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.4103/0974-8520.127720,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
