,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_OER
0,10.1016/j.ijhydene.2013.10.034,Spain,Univ Autonoma Barcelona,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2014-01-01,40,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.ijhydene.2013.10.034,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1016/j.apcatb.2020.119583,Peoples R China,Fudan Univ,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,2021-01-06,30,65.8,16.0,NaN,"RuFeP-NCs/CNF) exhibits outstanding Pt-like HER performance, requiring low overpotentials of 65.8 and 16.0 mV to deliver a current density of 10 mA cm(-2) in acidic and alkaline solutions, respectively, and showing a long-term stability of 100 h","Normal,acid and alkaline.",0,0,0,C,Fe,P,Ru,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.apcatb.2018.02.045,Peoples R China,Jilin Univ,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,2018-12-28,59,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.apcatb.2018.02.045,NaN,NaN,NaN,C,N,Ni,O,P,None,None,None,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1098/rstb.1985.0171,"UNIV LONDON KINGS COLL,DEPT BIOCHEM,STRAND,LONDON WC2R 2LS,ENGLAND","UNIV LONDON KINGS COLL,DEPT BIOCHEM,STRAND,LONDON WC2R 2LS,ENGLAND",PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES B-BIOLOGICAL SCIENCES,6.671,1985-12-17,132,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1098/rstb.1985.0171,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1007/s11706-021-0557-5,Peoples R China,Anhui Normal Univ,FRONTIERS OF MATERIALS SCIENCE,2.612,2021-07-10,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1007/s11706-021-0557-5,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1007/s10853-018-2852-9,Peoples R China,Shenyang Normal Univ,JOURNAL OF MATERIALS SCIENCE,4.682,2018-12-28,8,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1007/s10853-018-2852-9,NaN,NaN,NaN,C,Cl,Co,N,Zn,None,None,None,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jcat.2019.06.024,Peoples R China,Tianjin Polytech Univ,JOURNAL OF CATALYSIS,8.047,2019-10-04,54,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.jcat.2019.06.024,NaN,NaN,NaN,Co,Cu,Ni,Pd,Rh,Ru,Zr,None,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1080/09593330.2019.1639830,Spain,Univ Basque Country,ENVIRONMENTAL TECHNOLOGY,3.475,2019-07-24,4,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1080/09593330.2019.1639830,NaN,NaN,NaN,Fe,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1149/1945-7111/ac519f,South Korea,Yeungnam Univ,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,4.386,2022-02-22,0,NaN,NaN,NaN,"The catalyst improved catalytic OER performance with the lowest overpotential of 260 mV to reach 10 mA cm(-2) and a small Tafel slope of 79 mV dec(-1), which is smaller than that of ZnO/Co3O4 and O-CNT",No pH key word.10.1149/1945-7111/ac519f,NaN,NaN,NaN,C,Co,O,Zn,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1039/c7dt02611k,India,Govt India,DALTON TRANSACTIONS,4.569,2017-11-21,45,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/c7dt02611k,NaN,NaN,NaN,N,None,None,None,None,None,None,None,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
