,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_HER
0,10.1016/j.jssc.2020.121776,Peoples R China,Jilin Univ,JOURNAL OF SOLID STATE CHEMISTRY,3.656,2021-01-12,4,NaN,NaN,NaN,"In a series of Cu-doped Ni3S2 samples, Ni1.9Cu0.1-S (the chemical composition is Ni2.85Cu0.15S2) displays a small overpotential of 259 mV to reach a current density of 10 mA cm(-2) and a Tafel slope of 54.9 mV dec(-1), better than that of undoped Ni3S2 (with a overpotential of 274 mV)",No pH key word.10.1016/j.jssc.2020.121776,NaN,NaN,NaN,Cu,Ni,S,None,None,None,None,None,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,10.1038/s41467-021-21482-z,Peoples R China,Univ Sci & Technol China,NATURE COMMUNICATIONS,17.694,2021-03-18,48,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1038/s41467-021-21482-z,NaN,NaN,NaN,Au,C,None,None,None,None,None,None,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1134/S1070363212120274,Russia,Russian Acad Sci,RUSSIAN JOURNAL OF GENERAL CHEMISTRY,0.779,2013-03-13,1,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1134/S1070363212120274,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/c4ee03004d,MA 02139 USA,MIT,ENERGY & ENVIRONMENTAL SCIENCE,39.714,2015-01-01,211,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/c4ee03004d,NaN,NaN,NaN,Co,O,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.fuel.2016.03.018,France,Univ Poitiers UMR CNRS 7285,FUEL,8.035,2016-08-15,32,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.fuel.2016.03.018,NaN,NaN,NaN,C,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.carbon.2015.09.085,Spain,Inst Ciencia Mat Barcelona ICMAB CSIC,CARBON,11.307,2016-01-01,57,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.carbon.2015.09.085,NaN,NaN,NaN,C,N,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1039/c2ra00895e,Taiwan,Natl Taiwan Univ,RSC ADVANCES,4.036,2012-06-13,22,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/c2ra00895e,NaN,NaN,NaN,P,None,None,None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1039/c0dt00454e,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/c0dt00454e,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/advs.202200529,Peoples R China,Shandong Univ,ADVANCED SCIENCE,17.521,2022-04-02,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/advs.202200529,NaN,NaN,NaN,O,None,None,None,None,None,None,None,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,10.3390/catal11050575,Poland,Polish Acad Sci,CATALYSTS,4.501,2021-06-01,2,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.3390/catal11050575,NaN,NaN,NaN,Co,Ni,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
