,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_HER
0,10.1039/c5ta00160a,Peoples R China,Chinese Acad Sci,JOURNAL OF MATERIALS CHEMISTRY A,14.511,2015-04-15,80,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/c5ta00160a,NaN,NaN,NaN,Fe,Ni,O,None,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,10.1016/S0379-6779(96)04919-3,NaN,NaN,SYNTHETIC METALS,4.0,1997-03-31,7,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/S0379-6779(96)04919-3,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/smll.202100510,Peoples R China,Fudan Univ,SMALL,15.153,2021-06-09,4,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/smll.202100510,NaN,NaN,NaN,C,S,W,None,None,None,None,None,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0,10.1016/j.polymer.2021.124140,Turkey,Bilkent Univ,POLYMER,4.432,2021-09-25,0,NaN,20.0,NaN,"Therein, ERGO(1)/Ni-2@PCN catalyst containing 41% Ni and 50% GO (with respect to PCN) with only one layer of each component demonstrated excellent HER activity and stability with low onset and overpotentials of -20 mV, eta@10 mA cm(-2) of -360 mV, respectively, and remarkable hydrogen generation rate of 27.5 mmol h(-1) g(-1) in 1 M KOH","Normal,only alkaline.",1,1,0,C,F,N,Ni,P,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1039/c9nr00229d,Peoples R China,Hunan Univ,NANOSCALE,8.307,2019-04-14,104,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/c9nr00229d,NaN,NaN,NaN,B,C,F,N,None,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1039/c9na00530g,England,Manchester Metropolitan Univ,NANOSCALE ADVANCES,5.598,2020-02-04,7,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/c9na00530g,NaN,NaN,NaN,B,N,None,None,None,None,None,None,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,10.1016/j.jece.2017.09.039,Argentina,Univ Nacl Sur,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,7.968,2017-10-01,17,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.jece.2017.09.039,NaN,NaN,NaN,C,Co,Cu,P,S,None,None,None,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1021/ic051483g,Israel,Tel Aviv Univ,INORGANIC CHEMISTRY,5.436,2006-01-09,77,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1021/ic051483g,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1039/d1ee01053k,Germany,Leibniz Inst Katalyse eV,ENERGY & ENVIRONMENTAL SCIENCE,39.714,2021-06-25,6,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/d1ee01053k,NaN,NaN,NaN,O,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1039/d1se01541a,South Korea,Daegu Gyeongbuk Inst Sci & Technol DGIST,SUSTAINABLE ENERGY & FUELS,6.813,2021-10-27,0,NaN,NaN,NaN,"In virtue of the superior hydrogen/oxygen evolution activity, the cell with the bifunctional FeNiMoP as both anode and cathode exhibits an initial low cell voltage of 1.50 V at a current density of 10 mA cm(-2) in 1.0 M KOH electrolyte solution",Error in finding OVP values.10.1039/d1se01541a,NaN,NaN,NaN,Fe,Mo,Ni,O,P,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
