,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_HER
0,10.1016/j.jhazmat.2015.04.076,Taiwan,China Med Univ,JOURNAL OF HAZARDOUS MATERIALS,14.224,2015-10-30,25,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.jhazmat.2015.04.076,NaN,NaN,NaN,B,C,S,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.ijhydene.2017.07.163,Peoples R China,Shanxi Normal Univ,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2017-11-19,14,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.ijhydene.2017.07.163,NaN,NaN,NaN,Ag,C,N,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,10.1021/acs.inorgchem.0c00959,Peoples R China,Hefei Univ Technol,INORGANIC CHEMISTRY,5.436,2020-07-07,22,NaN,NaN,NaN,"The fabricated CoP/SPNF electrocatalyst exhibits impressive bifunctional performance for the hydrogen evolution reaction (HER, overpotential of 45 mV at 10 mA cm(-2)) and oxygen evolution reaction (OER, overpotential of 215 mV at 80 mA cm(-2)) and consequently enables efficient electrolytic water splitting with a low cell voltage of 1.547 V at 30 mA cm(-2) and a prominent durability",No pH key word.10.1021/acs.inorgchem.0c00959,NaN,NaN,NaN,Co,Ni,P,Zn,None,None,None,None,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,10.1016/S1381-1169(98)00334-3,Japan,Niigata Univ,JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL,5.008,1999-07-22,49,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/S1381-1169(98)00334-3,NaN,NaN,NaN,Ce,I,O,V,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.cej.2019.121924,Peoples R China,Shaanxi Normal Univ,CHEMICAL ENGINEERING JOURNAL,16.744,2019-09-12,34,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.cej.2019.121924,NaN,NaN,NaN,Bi,O,V,None,None,None,None,None,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.carbon.2019.04.002,Peoples R China,Nanjing Univ Sci & Technol,CARBON,11.307,2019-06-04,34,NaN,NaN,NaN,"Benefiting from the introduction of Ni3ZnC0.7 nanodots and nitrogen doping to the carbon nanotubes, the Ni3ZnC0.7/NCNIT-700 arrays exhibit superior hydrogen evolution reaction and oxygen evolution reaction catalytic activity in terms of low overpotential (203 mV and 380 mV vs RHE at 10 mA cm(-2) for hydrogen evolution reaction and oxygen evolution reaction, respectively)",No pH key word.10.1016/j.carbon.2019.04.002,NaN,NaN,NaN,C,N,Ni,O,Zn,None,None,None,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.carbon.2019.04.002,Peoples R China,Nanjing Univ Sci & Technol,CARBON,11.307,2019-06-04,34,NaN,NaN,NaN,"When the Ni3ZnC0.7/NCNIT-700 is served as both anode and cathode catalysts for overall water splitting, a potential of 1.66 V is needed to deliver a current density of 10 mA cm(-2), and it also displays negligible degradation after 24 h of operation in alkaline solution",Error in finding OVP values.10.1016/j.carbon.2019.04.002,NaN,NaN,NaN,C,N,Ni,O,Zn,None,None,None,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.apsusc.2021.151580,Peoples R China,East China Univ Sci & Technol,APPLIED SURFACE SCIENCE,7.392,2021-12-18,1,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.apsusc.2021.151580,NaN,NaN,NaN,B,C,O,P,S,None,None,None,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.nanoen.2017.03.042,Peoples R China,Univ Sci & Technol Beijing,NANO ENERGY,19.069,2017-05-01,67,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.nanoen.2017.03.042,NaN,NaN,NaN,Cd,O,S,Zn,None,None,None,None,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1007/s12598-020-01581-4,Peoples R China,Northeastern Univ,RARE METALS,6.318,2020-09-29,43,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1007/s12598-020-01581-4,NaN,NaN,NaN,C,Co,O,None,None,None,None,None,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
