,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_HER
0,10.1016/j.jcat.2018.07.037,Peoples R China,USTC,JOURNAL OF CATALYSIS,8.047,2018-12-28,26,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.jcat.2018.07.037,NaN,NaN,NaN,Co,P,Ti,None,None,None,None,None,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1039/d2ra04303c,Peoples R China,Shandong Univ Technol,RSC ADVANCES,4.036,2022-08-28,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1039/d2ra04303c,NaN,NaN,NaN,Al,C,Cs,Fe,Ni,O,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.cej.2016.02.098,Peoples R China,Shandong Univ,CHEMICAL ENGINEERING JOURNAL,16.744,2016-06-15,24,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.cej.2016.02.098,NaN,NaN,NaN,O,S,Ti,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1002/adsu.202200076,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/adsu.202200076,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.mtchem.2020.100397,Brazil,Inst Nacl Tecnol,MATERIALS TODAY CHEMISTRY,7.613,2021-03-08,2,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.mtchem.2020.100397,NaN,NaN,NaN,Cl,Nb,O,Ru,Zn,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,10.3390/molecules21070942,Italy,Univ Ferrara,MOLECULES,4.927,2016-09-28,4,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.3390/molecules21070942,NaN,NaN,NaN,Ti,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.6111/JKCGCT.2021.31.2.096,South Korea,Korea Natl Univ Transportat,JOURNAL OF THE KOREAN CRYSTAL GROWTH AND CRYSTAL TECHNOLOGY,0.09,2021-07-10,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.6111/JKCGCT.2021.31.2.096,NaN,NaN,NaN,Te,None,None,None,None,None,None,None,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1002/fuce.201400166,South Korea,Pohang Univ Sci & Technol POSTECH,FUEL CELLS,2.948,2015-05-13,16,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1002/fuce.201400166,NaN,NaN,NaN,C,Mn,O,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.ijhydene.2012.11.106,Canada,UOIT,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2013-05-07,20,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.ijhydene.2012.11.106,NaN,NaN,NaN,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/S0920-5861(98)00063-7,VA 23668 USA,Hampton Univ,CATALYSIS TODAY,6.562,1998-05-14,67,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/S0920-5861(98)00063-7,NaN,NaN,NaN,Al,Ba,C,Cu,O,Zn,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
