,DOI,Country,Facility,Journal_Name,IF,Indexed_Date,Cited_Time,Acid_OVP,Alkaline_OVP,Neutral_OVP,Remark_Sentence,Bug_Note,Irregular_Abnormal_Value,Irregular_Multiple_Value,Irregular_Multiple_Keywords,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel,Warning_HER
0,10.1016/j.jwpe.2018.03.014,Egypt,Natl Res Ctr,JOURNAL OF WATER PROCESS ENGINEERING,7.34,2018-07-31,22,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.jwpe.2018.03.014,NaN,NaN,NaN,C,N,None,None,None,None,None,None,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1016/j.jallcom.2022.165530,Germany,Univ Konstanz,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,2022-06-20,0,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.jallcom.2022.165530,NaN,NaN,NaN,C,Mn,Mo,O,None,None,None,None,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.1039/d2ta00191h,Peoples R China,Lanzhou Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,2022-03-21,0,NaN,266.0,NaN,"The FeCoSx-PBA hybrid system supplies an optimized electronic structure for the alkaline OER, which is also confirmed by the much-lowered overpotential (266 mV at 10 mA cm(-2)) for the alkaline OER","Normal,only alkaline.",0,0,1,Al,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,10.1016/j.watres.2020.115986,Spain,Univ Barcelona,WATER RESEARCH,13.4,2020-12-01,39,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.watres.2020.115986,NaN,NaN,NaN,Fe,I,O,None,None,None,None,None,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.1016/j.ijhydene.2020.12.153,Peoples R China,Jiangsu Univ,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,2021-03-31,2,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.ijhydene.2020.12.153,NaN,NaN,NaN,P,None,None,None,None,None,None,None,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10.5004/dwt.2017.20879,Malaysia,Univ Sains Malaysia,DESALINATION AND WATER TREATMENT,1.273,2017-09-07,8,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.5004/dwt.2017.20879,NaN,NaN,NaN,O,Ti,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1002/slct.202200468,Peoples R China,Univ Sci & Technol Beijing,CHEMISTRYSELECT,2.307,2022-05-12,0,NaN,NaN,NaN,The results indicate that NiMo alloy has efficient hydrogen evolution activity (34 mV) and oxygen evolution activity (279 mV) at 10 mA cm(-2),No pH key word.10.1002/slct.202200468,NaN,NaN,NaN,Mo,Ni,O,None,None,None,None,None,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,10.1002/slct.202200468,Peoples R China,Univ Sci & Technol Beijing,CHEMISTRYSELECT,2.307,2022-05-12,0,NaN,NaN,NaN,"At 10 mA cm(-2), the voltage is 1.489 V, and it can be stable for at least 10 hours at 70 mA cm(-2)",No pH key word.10.1002/slct.202200468,NaN,NaN,NaN,Mo,Ni,O,None,None,None,None,None,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,10.1080/19443994.2015.1094423,Greece,Aristotle Univ Thessaloniki,DESALINATION AND WATER TREATMENT,1.273,2016-07-20,9,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1080/19443994.2015.1094423,NaN,NaN,NaN,O,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1016/j.jhazmat.2018.02.018,Peoples R China,South Cent Univ Nationalities,JOURNAL OF HAZARDOUS MATERIALS,14.224,2018-12-28,40,NaN,NaN,NaN,NaN,Error in finding OVP keyword.10.1016/j.jhazmat.2018.02.018,NaN,NaN,NaN,Ce,O,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
