,Alkaline_OVP,Element_1 Relative Atomic Mass,Element_1 Atomic Number,Element_1 Period,Element_1 Group,Element_1 Ionization Potential,Element_1 Electronegativity,Element_1 Number of d electrons,Element_1 Atomic Radius,Element_2 Relative Atomic Mass,Element_2 Atomic Number,Element_2 Period,Element_2 Group,Element_2 Ionization Potential,Element_2 Electronegativity,Element_2 Number of d electrons,Element_2 Atomic Radius,Element_3 Relative Atomic Mass,Element_3 Atomic Number,Element_3 Period,Element_3 Group,Element_3 Ionization Potential,Element_3 Electronegativity,Element_3 Number of d electrons,Element_3 Atomic Radius,Element_4 Relative Atomic Mass,Element_4 Atomic Number,Element_4 Period,Element_4 Group,Element_4 Ionization Potential,Element_4 Electronegativity,Element_4 Number of d electrons,Element_4 Atomic Radius,Element_5 Relative Atomic Mass,Element_5 Atomic Number,Element_5 Period,Element_5 Group,Element_5 Ionization Potential,Element_5 Electronegativity,Element_5 Number of d electrons,Element_5 Atomic Radius,Element_6 Relative Atomic Mass,Element_6 Atomic Number,Element_6 Period,Element_6 Group,Element_6 Ionization Potential,Element_6 Electronegativity,Element_6 Number of d electrons,Element_6 Atomic Radius,Element_7 Relative Atomic Mass,Element_7 Atomic Number,Element_7 Period,Element_7 Group,Element_7 Ionization Potential,Element_7 Electronegativity,Element_7 Number of d electrons,Element_7 Atomic Radius,Element_8 Relative Atomic Mass,Element_8 Atomic Number,Element_8 Period,Element_8 Group,Element_8 Ionization Potential,Element_8 Electronegativity,Element_8 Number of d electrons,Element_8 Atomic Radius,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_QD,Judge_Hollow,Judge_Core_Shell,Judge_Template,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_Polymer_Complex_Chelate,Judge_Biomass_Slag,Judge_MOF,Judge_COF,Judge_Conductive_Polymer,Judge_Polymetal,Judge_Hydroxide_Oxyhydroxide,Judge_oxalate,Judge_Spinel,Judge_Perovskite,Judge_Pyrochlore,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_Plasma,Judge_Graphdiyne,Judge_Graphene,Judge_c3n4,Judge_MXene,Judge_CNT,Judge_IL,Judge_Organic_Inorganic,Judge_Steel,Judge_Carbon_Cloth,Judge_Film,Judge_Molten,Judge_Co_Precipitation,Judge_Electrospin,Judge_Hydrothermal,Judge_Microwave,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Light_Deposition,Judge_Electrochemical_Deposition,Judge_Electrochemical_Corrosion,Judge_Etching,Judge_Sol_Gel
428,175.4,12.0107,6,2,14,11.22,2.56,0,77,58.933,27,4,9,7.81,1.88,7,125,14.0067,7,2,15,14.48,3.04,0,92,16,8,2,16,13.56,3.44,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
429,105.6,12.0107,6,2,14,11.22,2.56,0,77,58.933,27,4,9,7.81,1.88,7,125,30.9737,15,3,15,10.3,2.19,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,63.0,12.0107,6,2,14,11.22,2.56,0,77,14.0067,7,2,15,14.48,3.04,0,92,16,8,2,16,13.56,3.44,0,48,102.905,45,5,9,7.7,2.28,8,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,67.0,55.845,26,4,8,7.83,1.83,6,126,58.933,27,4,9,7.81,1.88,7,125,30.9737,15,3,15,10.3,2.19,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,117.0,12.0107,6,2,14,11.22,2.56,0,77,14.0067,7,2,15,14.48,3.04,0,92,58.933,27,4,9,7.81,1.88,7,125,55.845,26,4,8,7.83,1.83,6,126,32.065,16,3,16,10.31,2.58,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
433,91.0,12.0107,6,2,14,11.22,2.56,0,77,58.933,27,4,9,7.81,1.88,7,125,30.9737,15,3,15,10.3,2.19,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,98.0,95.94,42,5,6,7.35,2.16,5,139,58.6934,28,4,10,7.61,1.91,8,124,32.065,16,3,16,10.31,2.58,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
435,91.0,18.9984,9,2,17,18.6,3.98,0,73,58.6934,28,4,10,7.61,1.91,8,124,30.9737,15,3,15,10.3,2.19,0,128,32.065,16,3,16,10.31,2.58,0,127,78.96,34,4,16,9.5,2.55,10,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,82.0,18.9984,9,2,17,18.6,3.98,0,73,55.845,26,4,8,7.83,1.83,6,126,14.0067,7,2,15,14.48,3.04,0,92,58.6934,28,4,10,7.61,1.91,8,124,16,8,2,16,13.56,3.44,0,48,30.9737,15,3,15,10.3,2.19,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
437,43.0,140.116,58,6,3,6.91,1.12,1,181,58.933,27,4,9,7.81,1.88,7,125,16,8,2,16,13.56,3.44,0,48,30.9737,15,3,15,10.3,2.19,0,128,47.867,22,4,4,6.81,1.54,2,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
438,71.0,12.0107,6,2,14,11.22,2.56,0,77,95.94,42,5,6,7.35,2.16,5,139,14.0067,7,2,15,14.48,3.04,0,92,30.9737,15,3,15,10.3,2.19,0,128,32.065,16,3,16,10.31,2.58,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,157.0,58.933,27,4,9,7.81,1.88,7,125,14.0067,7,2,15,14.48,3.04,0,92,12.0107,6,2,14,11.22,2.56,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,49.0,95.94,42,5,6,7.35,2.16,5,139,14.0067,7,2,15,14.48,3.04,0,92,32.065,16,3,16,10.31,2.58,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
441,15.0,58.933,27,4,9,7.81,1.88,7,125,95.94,42,5,6,7.35,2.16,5,139,16,8,2,16,13.56,3.44,0,48,30.9737,15,3,15,10.3,2.19,0,128,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
442,166.0,12.0107,6,2,14,11.22,2.56,0,77,95.94,42,5,6,7.35,2.16,5,139,58.6934,28,4,10,7.61,1.91,8,124,32.065,16,3,16,10.31,2.58,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
443,156.0,12.0107,6,2,14,11.22,2.56,0,77,14.0067,7,2,15,14.48,3.04,0,92,50.942,23,4,5,6.76,1.63,3,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,4.3,30.9737,15,3,15,10.3,2.19,0,128,102.905,45,5,9,7.7,2.28,8,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,54.0,95.94,42,5,6,7.35,2.16,5,139,58.6934,28,4,10,7.61,1.91,8,124,32.065,16,3,16,10.31,2.58,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
446,19.0,10.811,5,2,13,8.33,2.04,0,98,190.23,76,6,8,8.7,2.2,6,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,96.0,58.933,27,4,9,7.81,1.88,7,125,30.9737,15,3,15,10.3,2.19,0,128,183.84,74,6,6,7.98,2.36,4,141,12.0107,6,2,14,11.22,2.56,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,61.0,12.0107,6,2,14,11.22,2.56,0,77,58.6934,28,4,10,7.61,1.91,8,124,95.94,42,5,6,7.35,2.16,5,139,14.0067,7,2,15,14.48,3.04,0,92,16,8,2,16,13.56,3.44,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
449,24.7,58.933,27,4,9,7.81,1.88,7,125,192.217,77,6,9,9.1,2.2,7,136,16,8,2,16,13.56,3.44,0,48,195.084,78,6,10,8.9,2.28,9,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,70.0,58.933,27,4,9,7.81,1.88,7,125,18.9984,9,2,17,18.6,3.98,0,73,58.6934,28,4,10,7.61,1.91,8,124,16,8,2,16,13.56,3.44,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,65.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,15.0,95.94,42,5,6,7.35,2.16,5,139,58.6934,28,4,10,7.61,1.91,8,124,16,8,2,16,13.56,3.44,0,48,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
453,28.0,16,8,2,16,13.56,3.44,0,48,101.07,44,5,8,7.5,2.2,7,134,87.62,38,5,2,5.67,0.95,10,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,64.4,12.0107,6,2,14,11.22,2.56,0,77,58.933,27,4,9,7.81,1.88,7,125,14.0067,7,2,15,14.48,3.04,0,92,58.6934,28,4,10,7.61,1.91,8,124,30.9737,15,3,15,10.3,2.19,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,57.1,95.94,42,5,6,7.35,2.16,5,139,58.6934,28,4,10,7.61,1.91,8,124,16,8,2,16,13.56,3.44,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
456,68.0,12.0107,6,2,14,11.22,2.56,0,77,58.6934,28,4,10,7.61,1.91,8,124,16,8,2,16,13.56,3.44,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
457,12.0,58.933,27,4,9,7.81,1.88,7,125,55.845,26,4,8,7.83,1.83,6,126,58.6934,28,4,10,7.61,1.91,8,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,135.0,12.0107,6,2,14,11.22,2.56,0,77,58.933,27,4,9,7.81,1.88,7,125,58.6934,28,4,10,7.61,1.91,8,124,16,8,2,16,13.56,3.44,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
459,55.0,14.0067,7,2,15,14.48,3.04,0,92,58.6934,28,4,10,7.61,1.91,8,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,132.0,58.933,27,4,9,7.81,1.88,7,125,95.94,42,5,6,7.35,2.16,5,139,58.6934,28,4,10,7.61,1.91,8,124,47.867,22,4,4,6.81,1.54,2,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
461,21.0,12.0107,6,2,14,11.22,2.56,0,77,58.933,27,4,9,7.81,1.88,7,125,51.996,24,4,6,6.74,1.66,4,130,55.845,26,4,8,7.83,1.83,6,126,54.938,25,4,7,7.4,1.56,5,127,95.94,42,5,6,7.35,2.16,5,139,14.0067,7,2,15,14.48,3.04,0,92,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
462,67.0,55.845,26,4,8,7.83,1.83,6,126,14.0067,7,2,15,14.48,3.04,0,92,58.6934,28,4,10,7.61,1.91,8,124,16,8,2,16,13.56,3.44,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,62.8,12.0107,6,2,14,11.22,2.56,0,77,58.933,27,4,9,7.81,1.88,7,125,30.9737,15,3,15,10.3,2.19,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
464,110.0,63.546,29,4,11,7.69,1.9,10,128,58.6934,28,4,10,7.61,1.91,8,124,16,8,2,16,13.56,3.44,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,19.8,35.453,17,3,17,12.96,3.16,0,99,58.6934,28,4,10,7.61,1.91,8,124,30.9737,15,3,15,10.3,2.19,0,128,101.07,44,5,8,7.5,2.2,7,134,32.065,16,3,16,10.31,2.58,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,53.0,12.0107,6,2,14,11.22,2.56,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,159.0,12.0107,6,2,14,11.22,2.56,0,77,63.546,29,4,11,7.69,1.9,10,128,16,8,2,16,13.56,3.44,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
468,157.0,12.0107,6,2,14,11.22,2.56,0,77,14.0067,7,2,15,14.48,3.04,0,92,58.6934,28,4,10,7.61,1.91,8,124,78.96,34,4,16,9.5,2.55,10,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,108.0,55.845,26,4,8,7.83,1.83,6,126,24.305,12,3,2,7.61,1.31,0,160,30.9737,15,3,15,10.3,2.19,0,128,47.867,22,4,4,6.81,1.54,2,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
470,180.0,12.0107,6,2,14,11.22,2.56,0,77,58.933,27,4,9,7.81,1.88,7,125,14.0067,7,2,15,14.48,3.04,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,82.0,58.933,27,4,9,7.81,1.88,7,125,55.845,26,4,8,7.83,1.83,6,126,58.6934,28,4,10,7.61,1.91,8,124,16,8,2,16,13.56,3.44,0,48,30.9737,15,3,15,10.3,2.19,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,100.1,12.0107,6,2,14,11.22,2.56,0,77,95.94,42,5,6,7.35,2.16,5,139,65.38,30,4,12,9.35,1.65,10,138,14.0067,7,2,15,14.48,3.04,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
473,2.04,58.933,27,4,9,7.81,1.88,7,125,55.845,26,4,8,7.83,1.83,6,126,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,79.0,58.6934,28,4,10,7.61,1.91,8,124,30.9737,15,3,15,10.3,2.19,0,128,78.96,34,4,16,9.5,2.55,10,140,65.38,30,4,12,9.35,1.65,10,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,90.0,14.0067,7,2,15,14.48,3.04,0,92,186.207,75,6,7,7.88,1.9,5,137,32.065,16,3,16,10.31,2.58,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,170.0,55.845,26,4,8,7.83,1.83,6,126,16,8,2,16,13.56,3.44,0,48,58.6934,28,4,10,7.61,1.91,8,124,30.9737,15,3,15,10.3,2.19,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
